destination_name,trips
Used Car Dealers,12070648.0
Slot Machines,10936827.0
Commercial Printing (except Screen and Books),8516481.0
Western Union Company (The),7990801.0
New Car Dealers,5102983.0
Walmart Inc.,4613997.0
Hotels (except Casino Hotels) and Motels,4575396.0
Moneygram International Inc.,4539529.0
Dunlop Tires,4256287.0
Home Centers,3939467.0
Full-Service Restaurants,3580517.0
Cardtronics Inc.,3416162.0
"Freshpet, Inc.",3129231.0
Pet Care (except Veterinary) Services,3059092.0
"Plumbing, Heating, and Air-Conditioning Contractors",2902515.0
"Food Lion,  LLC",2687840.0
Other Automotive Mechanical and Electrical Repair and Maintenance,2612276.0
Pennzoil,2539829.0
Fitness and Recreational Sports Centers,2361500.0
None,2298532.0
McDonald's Corp.,2104934.0
Beauty Salons,1750232.0
General Automotive Repair,1688316.0
BP p.l.c.,1642607.0
Shell Oil Products Company LLC,1614418.0
Tire Dealers,1576157.0
"Sheetz, Inc.",1438952.0
Starbucks Corporation,1434061.0
"Armstrong Flooring, Inc.",1406096.0
Funeral Homes and Funeral Services,1284483.0
Exxon Mobil Corporation,1225891.0
Golf Courses,1216914.0
Dollar General Corporation,1216760.0
Lowe's Companies Inc,1159445.0
"Colleges, Universities, and Professional Schools",1151778.0
Pharmacies and Drug Stores,1119303.0
"Chick-fil-A,  Inc.",1107245.0
Target Corporation,1073697.0
Convenience Stores,1020717.0
"Bojangles', Inc.",985816.0
Speedway LLC,968033.0
Harris Teeter,956171.0
Office Building,907576.0
Drinking Places (Alcoholic Beverages),895342.0
Limited-Service Restaurants,874305.0
Whirlpool Corp.,841825.0
Motor Vehicle Towing,839877.0
Walgreen Company,811877.0
Furniture Merchant Wholesalers,804684.0
Other Building Material Dealers,738052.0
Subway,727579.0
Supermarkets and Other Grocery Retailers (except Convenience Retailers),711057.0
FedEx Corporation,692205.0
Parking Lots and Garages,686453.0
Fresh Fruit and Vegetable Merchant Wholesalers,668946.0
CVS Health Corporation,644823.0
CITGO Petroleum Corporation,637390.0
Commercial Banking,622556.0
Independent Community Bankers of America,616508.0
Circle K Stores Inc.,615475.0
Painting and Wall Covering Contractors,597387.0
"Sam's West, Inc.",584452.0
Murphy USA Inc.,582094.0
Nail Salons,580230.0
American Airlines Group Inc.,577240.0
Keds,572871.0
Taco Bell,560563.0
