origin_county,trips
Mecklenburg County,23553338.0
Wake County,23508842.0
Guilford County,10668596.0
Forsyth County,7813023.0
Cumberland County,6982098.0
New Hanover County,6906978.0
Union County,5880028.0
Cabarrus County,5783165.0
Buncombe County,5719167.0
Gaston County,5588184.0
Johnston County,5255618.0
Pitt County,5056861.0
Catawba County,4978512.0
Durham County,4956108.0
Iredell County,4676755.0
Onslow County,4511732.0
Alamance County,4078504.0
Davidson County,4050717.0
Rowan County,3363102.0
Randolph County,3292926.0
Brunswick County,3145969.0
Wayne County,2761292.0
Harnett County,2584857.0
Cleveland County,2519583.0
Carteret County,2472549.0
Lincoln County,2408884.0
Henderson County,2390860.0
Craven County,2347974.0
Orange County,2271477.0
Caldwell County,2270014.0
Robeson County,2235844.0
Nash County,2193418.0
Burke County,2153164.0
Surry County,2067557.0
Wilson County,2046207.0
Moore County,1943892.0
Rockingham County,1860703.0
Stanly County,1813212.0
Wilkes County,1783633.0
Lee County,1663927.0
Haywood County,1636530.0
Watauga County,1593812.0
Rutherford County,1553657.0
Pender County,1433768.0
Sampson County,1378806.0
York County,1230139.0
Dare County,1108029.0
Lenoir County,1102348.0
Franklin County,1090244.0
Davie County,1062157.0
Beaufort County,1037829.0
Pasquotank County,981111.0
Columbus County,971873.0
Granville County,947156.0
Chatham County,942601.0
Jackson County,935059.0
McDowell County,877569.0
Duplin County,871899.0
Stokes County,835132.0
Richmond County,820644.0
Halifax County,818754.0
Yadkin County,797065.0
Edgecombe County,797042.0
Alexander County,795051.0
Person County,756251.0
Vance County,735125.0
Horry County,728244.0
Hoke County,677801.0
Cherokee County,658648.0
Macon County,622579.0
Scotland County,599280.0
Bladen County,553067.0
Transylvania County,551274.0
Ashe County,482190.0
Currituck County,422809.0
Montgomery County,395651.0
Martin County,395170.0
Lancaster County,372887.0
Avery County,323711.0
Anson County,306000.0
Greene County,300674.0
Madison County,273217.0
Swain County,264057.0
Hertford County,257975.0
Yancey County,234144.0
Polk County,219911.0
Camden County,219463.0
Mitchell County,209306.0
Chowan County,200758.0
Perquimans County,188034.0
Washington County,183099.0
Clay County,164620.0
Warren County,161629.0
Northampton County,159114.0
Alleghany County,156127.0
Caswell County,147680.0
Bertie County,144942.0
Chesterfield County,140057.0
Pamlico County,137396.0
Jones County,120483.0
Spartanburg County,104763.0
Richland County,99742.0
Greenville County,91682.0
Sevier County,82826.0
Gates County,67462.0
Henry County,67130.0
Charleston County,61911.0
Graham County,59235.0
Chesapeake city,58949.0
Carroll County,57315.0
Hyde County,48977.0
Marlboro County,48435.0
Fulton County,46001.0
Clark County,45462.0
Lexington County,40138.0
Patrick County,39619.0
Johnson County,37565.0
Towns County,33909.0
Virginia Beach city,32274.0
Chester County,32164.0
Anderson County,29045.0
Pittsylvania County,28956.0
Dillon County,28506.0
Monroe County,28367.0
Danville city,27974.0
Duval County,27541.0
Jefferson County,26235.0
Florence County,25656.0
Broward County,25279.0
Knox County,24300.0
Shelby County,24067.0
Fairfax County,23972.0
Miami-Dade County,23903.0
Rabun County,23712.0
Hillsborough County,23618.0
Hamilton County,23136.0
Berkeley County,23080.0
Tyrrell County,22252.0
Marion County,21599.0
Gwinnett County,21417.0
Clayton County,20485.0
Henrico County,20303.0
Kane County,20260.0
Prince William County,20255.0
Suffolk County,19056.0
Cook County,18456.0
Fannin County,18433.0
Kent County,17924.0
Palm Beach County,17584.0
Georgetown County,17445.0
Loudoun County,17226.0
Cobb County,16912.0
Erie County,16887.0
Nassau County,16773.0
Norfolk city,15280.0
Monmouth County,14806.0
Pinellas County,14175.0
Dorchester County,13764.0
Queens County,13543.0
Tarrant County,13050.0
