origin_cbg,destination_cbg,trips
370810163051,371570410023,239
510890101003,371570410012,57
371570415022,371570416012,518
370810157033,371570410012,173
371570413002,371570412004,564
510890109001,371570403001,23
371470010033,371570403001,165
371570404002,371570405013,752
370810157072,371570410023,131
371570405021,371570410023,120
510890106021,371570403001,646
370810157033,371570416023,12
510890109001,371570410023,191
371570405021,371570410012,1140
371570410011,371570407001,1291
450510517001,371570414002,250
371570406021,371570415022,396
370670033072,371570409001,119
371570401013,371570412002,52
371570401023,371570411006,197
371570410021,371570413004,68
371259505031,371570411001,44
320030067001,371570409002,67
371570401011,371570403003,13458
370810125091,371570414002,69
371570416023,371570403003,1783
371570407004,371570409001,888
370810155001,371570416012,69
371570406012,371570412004,163
370570603041,371570403003,19
371570412004,371570412004,18671
370810167012,371570414001,26
370810162011,371570406012,49
370810160112,371570416022,454
371690704001,371570408001,75
371570405011,371570402003,361
370810156012,371570410022,113
371570401023,371570414002,350
370810156021,371570410023,91
450510517001,371570403003,188
371570416023,371570409003,93
370810156021,371570414001,389
370010218011,371570412001,68
371570405011,371570405011,1673
515900001001,371570412004,38
371510313041,371570408001,17
371570401012,371570413004,1648
510890106023,371570405023,15
371690701012,371570410021,71
511410303023,371570406023,159
371570412001,371570401023,47
371570406023,371570406023,18042
370670028081,371570410021,211
516900001001,371570412004,38
370570603033,371570410012,192
370650203001,371570412003,278
510890104001,371570410012,57
371570401022,371570403002,392
371570405023,371570403001,3598
370810160032,371570406023,178
371570402003,371570408001,1074
510890105002,371570410023,475
370570602033,371570405023,107
131510704113,371570413004,136
371570408001,371570410014,239
510594302023,371570410023,109
516600002054,371570403003,40
371570411006,371570411001,1636
371570416023,371570412004,1413
371570410015,371570406021,654
371570416022,371570405021,27
371570401013,371570413003,581
510890103002,371570403002,37
371570412002,371570415011,1210
371459202002,371570415011,20
371570403001,371570415021,3231
371570406023,371570402003,83
515900012002,371570404002,535
371690707011,371570412003,61
510890105001,371570408001,75
371570414002,371570403002,311
370810161021,371570406023,70
370670032021,371570409003,174
370350115031,371570408001,26
371570404004,371570404003,1336
515900008001,371570406023,52
370810127061,371570415023,197
371570415021,371570414002,3922
516900005003,371570409001,60
510890102001,371570403003,108
371570407001,371570412004,309
371570401012,371570410023,40
515900014002,371570403002,4
371570403002,371570403001,17564
371570406013,371570406022,265
370339302004,371570403003,412
371570406022,371570404002,150
371570405011,371570411006,109
370810105003,371570409003,213
510670209021,371570410023,40
510890106011,371570406023,790
371570404003,371570410012,117
370810101001,371570413004,40
511430110013,371570413004,101
371570404003,371570415023,852
371570402001,371570408001,496
371570402003,371570403002,2853
